#### epoch 1 ##### 
             test loss: 0.003447, test accuracy: 93%
#### epoch 45 ##### 
             test loss: 0.003420, test accuracy: 93%
#### epoch 46 ##### 
             test loss: 0.003419, test accuracy: 93%
#### epoch 47 ##### 
             test loss: 0.003435, test accuracy: 93%
#### epoch 48 ##### 
             test loss: 0.003420, test accuracy: 93%
#### epoch 49 ##### 
             test loss: 0.003429, test accuracy: 93%
#### epoch 50 ##### 
             test loss: 0.003423, test accuracy: 93%
test end. time 50.33195730099942 (s)
avg_loss:0.0033537843570113184, acc:0.9264
accuracy: 0.9264  precision: 0.9265186185012031  recall: 0.9264000000000001  f1: 0.9258057666613461
